"","Category","ID","Name","PValue","QValueFDRBH","QValueFDRBY","QValueBonferroni","TotalGenes","GenesInTerm","GenesInQuery","GenesInTermInQuery","Source","URL","Cluster","nlog10_fdr"
"1","GeneOntologyMolecularFunction","GO:0033885","10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"2","GeneOntologyMolecularFunction","GO:0038121","C-C motif chemokine 21 receptor activity",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"3","GeneOntologyMolecularFunction","GO:0038117","C-C motif chemokine 19 receptor activity",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"4","GeneOntologyMolecularFunction","GO:0047627","adenylylsulfatase activity",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"5","GeneOntologyMolecularFunction","GO:0047352","adenylylsulfate-ammonia adenylyltransferase activity",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"6","GeneOntologyMolecularFunction","GO:0035757","chemokine (C-C motif) ligand 19 binding",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"7","GeneOntologyMolecularFunction","GO:0035758","chemokine (C-C motif) ligand 21 binding",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"8","GeneOntologyMolecularFunction","GO:0016819","hydrolase activity, acting on acid anhydrides, in sulfonyl-containing anhydrides",0.000804141754370397,0.0128662680699264,0.0699043269565933,0.102930144559411,19912,1,16,1," "," ","0",1.8905474042743
"9","GeneOntologyMolecularFunction","GO:0035403","histone H3T6 kinase activity",0.0016064661942569,0.0228475192072093,0.124133932553524,0.205627672864884,19912,2,16,1," "," ","0",1.64116094890309
"10","GeneOntologyMolecularFunction","GO:2001065","mannan binding",0.0024087910578732,0.027601587646891,0.149963485674551,0.308325255407769,19912,3,16,1," "," ","0",1.55906593654154
"11","GeneOntologyMolecularFunction","GO:0047710","bis(5'-adenosyl)-triphosphatase activity",0.0024087910578732,0.027601587646891,0.149963485674551,0.308325255407769,19912,3,16,1," "," ","0",1.55906593654154
"12","GeneOntologyMolecularFunction","GO:0005546","phosphatidylinositol-4,5-bisphosphate binding",0.00258764884189603,0.027601587646891,0.149963485674551,0.331219051762692,19912,95,16,2," "," ","0",1.55906593654154
"13","GeneOntologyMolecularFunction","GO:0043530","adenosine 5'-monophosphoramidase activity",0.00321051185425126,0.0316111936418586,0.171748264828537,0.410945517344161,19912,4,16,1," "," ","0",1.50015910484738
"14","GeneOntologyMolecularFunction","GO:0001540","amyloid-beta binding",0.00351170859740187,0.0321070500333885,0.17444232554052,0.44949870046744,19912,111,16,2," "," ","0",1.49339959518326
"15","GeneOntologyMolecularFunction","GO:1902936","phosphatidylinositol bisphosphate binding",0.00422389944450372,0.0360439419264318,0.195832038283046,0.540659128896476,19912,122,16,2," "," ","0",1.44316771871183
"16","GeneOntologyMolecularFunction","GO:0035650","AP-1 adaptor complex binding",0.00481214166298642,0.0362325960507213,0.196857023889934,0.615954132862262,19912,6,16,1," "," ","0",1.44090054782825
"17","GeneOntologyMolecularFunction","GO:0052642","lysophosphatidic acid phosphatase activity",0.00481214166298642,0.0362325960507213,0.196857023889934,0.615954132862262,19912,6,16,1," "," ","0",1.44090054782825
"18","GeneOntologyMolecularFunction","GO:0016151","nickel cation binding",0.00561205152959729,0.0399079219882474,0.216825610321722,0.718342595788453,19912,7,16,1," "," ","0",1.39894088540898
"19","GeneOntologyMolecularFunction","GO:0019955","cytokine binding",0.00639364411440601,0.0410326950026832,0.222936667554926,0.818386446643969,19912,151,16,2," "," ","0",1.38686995789644
"20","GeneOntologyMolecularFunction","GO:0004301","epoxide hydrolase activity",0.00641135859416924,0.0410326950026832,0.222936667554926,0.820653900053663,19912,8,16,1," "," ","0",1.38686995789644
"21","GeneOntologyMolecularFunction","GO:0019957","C-C chemokine binding",0.00800816603582455,0.048202353809038,0.26189047845353,1,19912,10,16,1," "," ","0",1.31693175385001
"22","GeneOntologyMolecularFunction","GO:0016803","ether hydrolase activity",0.00880566726081698,0.048202353809038,0.26189047845353,1,19912,11,16,1," "," ","0",1.31693175385001
"23","GeneOntologyMolecularFunction","GO:0070016","armadillo repeat domain binding",0.00880566726081698,0.048202353809038,0.26189047845353,1,19912,11,16,1," "," ","0",1.31693175385001
